COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Kynurenine formamidase (PDB:1R61)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG1878	GC_00000787, GC_00007904, GC_00007936, GC_00008426, GC_00009265, GC_00014688, GC_00019068, GC_00021344, GC_00023433, GC_00024681, GC_00026792, GC_00034010, GC_00035869, GC_00036160, GC_00037619, GC_00038296, GC_00041546, GC_00052388	1	0.9333	1	151	15	15
Septum site-determining protein MinC (MinC) (PDB:1HF2)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0850	GC_00001637	1	0.9333	1	151	15	15
Uncharacterized conserved protein YjeT, DUF2065 family (yjeT)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG3242	GC_00002823	1	1	0.9333	151	15	15
N-hydroxylaminopurine reductase subunit YcbX, contains MOSC domain (YcbX) (PUBMED:18312271;20118259)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG3217	GC_00002934, GC_00017997, GC_00024193, GC_00025257, GC_00036689, GC_00037627, GC_00048465, GC_00071882, GC_00075898	1	0.9333	1	151	15	15
ABC-type Mn2+/Zn2+ transport system, permease component (ZnuB)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG1108	GC_00001420, GC_00007910, GC_00021252, GC_00031428, GC_00034259	1	1	0.9333	151	15	15
Magnesium uptake protein YhiD/SapB, involved in acid resistance (SapB) (PUBMED:19798051)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG1285	GC_00003501, GC_00004643, GC_00009619, GC_00012667, GC_00014375, GC_00016748, GC_00017549, GC_00025369, GC_00038046, GC_00039357	1	0.9333	1	151	15	15
Transglutaminase-like enzyme, putative cysteine protease (YebA) (PDB:3ISR)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG1305	GC_00002951, GC_00004221, GC_00005107, GC_00008161, GC_00008713, GC_00010052, GC_00011683, GC_00012030, GC_00013693, GC_00016251, GC_00016431, GC_00016615, GC_00022114, GC_00022192, GC_00025298, GC_00031898, GC_00033016, GC_00037367, GC_00052040, GC_00057512, GC_00075099	1	0.9333	1	151	15	15
Ethanolamine ammonia-lyase, small subunit (EutC) (PDB:5YSN)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4302	GC_00002943, GC_00021586, GC_00026809	1	0.9333	1	151	15	15
Predicted Ser/Thr protein kinase (PrkA)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG2766	GC_00000898	1	1	0.9333	151	15	15
Uncharacterized membrane protein YadS, UPF0324 family (YeiH)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2855	GC_00001443, GC_00010455, GC_00022167, GC_00022961, GC_00033529, GC_00036484, GC_00055088	1	0.9333	1	151	15	15
Uncharacterized conserved protein, DUF1150 family	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG5568	GC_00002247	1	0.9333	1	151	15	15
Prephenate dehydrogenase (TyrA) (PDB:2F1K)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0287	GC_00000817, GC_00037805, GC_00045209, GC_00075160	1	0.9333	1	151	15	15
Thiosulfate reductase cytochrome b subunit (YdhU)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4117	GC_00001280, GC_00016392, GC_00017967, GC_00032174	1	0.9333	1	151	15	15
Uncharacterized conserved protein, DUF459 domain	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2845	GC_00000629	1	0.9333	1	151	15	15
Uncharacterized conserved protein, heparinase superfamily	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG5360	GC_00002130, GC_00006191, GC_00006192, GC_00018812, GC_00027157, GC_00033996	1	0.9333	1	151	15	15
tRNA A37 threonylcarbamoyladenosine modification protein TsaB (TsaB) (PDB:1OKJ)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG1214	GC_00002177	1	1	0.9333	151	15	15
Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0151	GC_00000182	1	0.9333	1	151	15	15
NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0649	GC_00000264	1	0.9333	1	151	15	15
PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2202!!!COG4191	GC_00005478, GC_00006008, GC_00006354, GC_00006935, GC_00007656, GC_00009586, GC_00010288, GC_00010294, GC_00011352, GC_00011582, GC_00011639, GC_00014619, GC_00015444, GC_00017397, GC_00017899, GC_00018369, GC_00019984, GC_00023496, GC_00024269, GC_00025461, GC_00026046, GC_00026347, GC_00026628, GC_00027120, GC_00027761, GC_00029205, GC_00029661, GC_00029662, GC_00029663, GC_00030309, GC_00032939, GC_00033285, GC_00035633, GC_00038043, GC_00038957, GC_00039160, GC_00039167, GC_00045911, GC_00047109, GC_00050195, GC_00054955, GC_00054960, GC_00068804, GC_00069818, GC_00076851	1	0.9333	1	151	15	15
Uncharacterized conserved protein YjlB, cupin superfamily (YjlB)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4297	GC_00000273, GC_00006887	1	0.9333	1	151	15	15
tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0566	GC_00002772	1	0.9333	1	151	15	15
Ethanolamine ammonia-lyase, large subunit (EutB) (PDB:3ABO)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG4303	GC_00001079	1	0.9333	1	151	15	15
CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0784!!!COG1595	GC_00002893	1	0.9333	1	151	15	15
Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown) (SpoVR)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG2719	GC_00001921	1	1	0.9333	151	15	15
Septum site-determining ATPase MinD (MinD) (PDB:4V02)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2894	GC_00001607	1	0.9333	1	151	15	15
Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)!!!FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0247!!!COG0277	GC_00000757, GC_00026059, GC_00027948, GC_00049680, GC_00075527	1	0.9333	1	151	15	15
DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif (RadC) (PDB:2QLC) (PUBMED:9695921)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Small	COG2003	GC_00000559, GC_00015107	1	1	0.9333	151	15	15
Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!Extracytoplasmic sensor domain CHASE2 (specificity unknown) (CHASE2)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2114!!!COG4252	GC_00000231, GC_00001348, GC_00003717, GC_00025459	1	0.9333	1	151	15	15
Sulfate transporter CysZ (CysZ) (PDB:3TX3) (PUBMED:24657232)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG2981	GC_00002872	1	0.9333	1	151	15	15
Phenylalanyl-tRNA synthetase alpha subunit (PheS) (PDB:3L4G)	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG0016	GC_00002867	1	0.9333	1	151	15	15
Uncharacterized conserved protein, DUF2277 domain	11.128505217476267	0.0038324438101371727	0.01727484029109774	Medium, Large	COG5552	GC_00002844	1	0.9333	1	151	15	15
Hydrogenase maturation factor HypF (carbamoyltransferase) (HypF) (PDB:3TSP)!!!Hydrogenase maturation factor HybG, HypC/HupF family (HypC) (PDB:2OT2)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0068!!!COG0298	GC_00038493	0	0	0.0667	151	15	15
Methionyl-tRNA synthetase (MetG) (PDB:1A8H)!!!Oxalate decarboxylase/archaeal phosphoglucose isomerase, cupin superfamily (OxdD) (PDB:2VQA)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0143!!!COG2140	GC_00074289	0	0	0.0667	151	15	15
EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Aminoglycoside N3'-acetyltransferase (YokD) (PDB:2NYG)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1020!!!COG2746	GC_00071115	0	0	0.0667	151	15	15
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)!!!Molybdopterin synthase sulfur carrier subunit MoaD (MoaD) (PDB:1FM0) (PUBMED:32239579)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0476!!!COG1977	GC_00053248	0	0	0.0667	151	15	15
Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs (Lys2b) (PDB:5MSP)!!!Acyl carrier protein/domain (AcpA) (PDB:2FQ1) (PUBMED:8759840;20663952)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG3320!!!COG3433	GC_00059931	0	0	0.0667	151	15	15
3-methyladenine DNA glycosylase AlkD (AlkD) (PDB:3JX7)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4912	GC_00062784	0	0	0.0667	151	15	15
Methylglyoxal synthase (MgsA) (PDB:1S8A) (PUBMED:9665712)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1803	GC_00056978	0	0	0.0667	151	15	15
Predicted site-specific integrase-resolvase (PDB:3ILX)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG2452	GC_00065049	0	0	0.0667	151	15	15
Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1838	GC_00074994	0	0	0.0667	151	15	15
Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)!!!Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0586!!!COG0671	GC_00071061	0	0	0.0667	151	15	15
DnaJ domain-containing protein (DjlA) (PUBMED:15489435;11106641)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1076	GC_00064326	0	0	0.0667	151	15	15
Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)!!!Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0586!!!COG0607	GC_00052587	0	0	0.0667	151	15	15
Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain) (YjiL) (PDB:1HUX)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1924	GC_00070873	0	0	0.0667	151	15	15
Extracytoplasmic sensor domain CHASE3 (specificity unknown) (CHASE3) (PDB:3VA9)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG5278	GC_00075239	0	0	0.0667	151	15	15
Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)!!!2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1216!!!COG2227	GC_00053454	0	0	0.0667	151	15	15
Isochorismate synthase EntC (MenF) (PDB:5JXZ)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1169	GC_00071962	0	0	0.0667	151	15	15
Uncharacterized SPBc2 prophage-derived protein YoqJ (YoqJ) (PDB:2NX2)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4474	GC_00065621	0	0	0.0667	151	15	15
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)!!!HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant) (HDGYP) (PDB:5Z7C) (PUBMED:23475961)!!!Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG2197!!!COG2206!!!COG3437	GC_00060322	0	0	0.0667	151	15	15
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)!!!Bacteriophytochrome (light-regulated signal transduction histidine kinase) (PDB:2VEA)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0642!!!COG3706!!!COG4251	GC_00039584	0	0	0.0667	151	15	15
Periplasmic component TolB of the Tol biopolymer transport system (TolB) (PDB:1C5K)!!!Fibronectin type 3 domain (FN3)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0823!!!COG3401	GC_00054697	0	0	0.0667	151	15	15
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0438!!!COG2226	GC_00036412	0	0	0.0667	151	15	15
Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)!!!dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0451!!!COG1898	GC_00065872	0	0	0.0667	151	15	15
Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family (HinT) (PDB:1AV5) (PUBMED:20934431)!!!2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0537!!!COG2227	GC_00069209	0	0	0.0667	151	15	15
Acyl carrier protein (AcpP) (PDB:1ACP)!!!O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Acyl carrier protein/domain (AcpA) (PDB:2FQ1) (PUBMED:8759840;20663952)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0236!!!COG0318!!!COG1020!!!COG3433	GC_00052693	0	0	0.0667	151	15	15
Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase (YnbB)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4589	GC_00077287	0	0	0.0667	151	15	15
DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0640!!!COG2226	GC_00047662	0	0	0.0667	151	15	15
Capsule polysaccharide export protein KpsE/RkpR (KpsE)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG3524	GC_00062333, GC_00066624	0	0	0.0667	151	15	15
Predicted ssDNA annealing protein, contains HHH motif, Rad42/Rad22/RecT/erf family (DdrA)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4712	GC_00069566	0	0	0.0667	151	15	15
Serine/threonine protein kinase (SPS1) (PDB:6G4J)!!!Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!GAF domain (GAF)!!!Predicted ATPase	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0515!!!COG2114!!!COG2203!!!COG3899	GC_00045579	0	0	0.0667	151	15	15
Choline kinase (PDB:4MND)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1213	GC_00052827	0	0	0.0667	151	15	15
Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)!!!Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0280!!!COG2030	GC_00047923	0	0	0.0667	151	15	15
CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain (PleD) (PDB:1W25)!!!Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0784!!!COG3706!!!COG3920	GC_00075039	0	0	0.0667	151	15	15
Flagellum-specific peptidoglycan hydrolase FlgJ (FlgJ) (PDB:2ZYC)!!!Uncharacterized conserved protein YcbK, DUF882 family (YcbK)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1705!!!COG3108	GC_00051682	0	0	0.0667	151	15	15
Serine protease, subtilisin family (AprE) (PDB:1SCJ)!!!Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain (DamX)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1404!!!COG3266	GC_00071879	0	0	0.0667	151	15	15
Uncharacterized conserved protein, DUF2149 domain	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4744	GC_00039440	0	0	0.0667	151	15	15
ABC-type ATPase fused to a predicted acetyltransferase domain (MK0520)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG2401	GC_00073568	0	0	0.0667	151	15	15
Rad3-related DNA helicase DinG (DinG) (PDB:5H8W)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1199	GC_00050686	0	0	0.0667	151	15	15
Replication initiaton protein REP (rolling circle plasmid replication) (REP)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG5655	GC_00061197	0	0	0.0667	151	15	15
Predicted glycosyl hydrolase, GH114 family (PDB:5TSY)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG3868	GC_00075961	0	0	0.0667	151	15	15
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG1028!!!COG3321	GC_00055532	0	0	0.0667	151	15	15
Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)!!!Signal transducer regulating beta-lactamase production, contains metallopeptidase domain (MecR1)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0810!!!COG4219	GC_00042553	0	0	0.0667	151	15	15
Predicted Zn-dependent metalloprotease, SprT family (SprT)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG3091	GC_00059207	0	0	0.0667	151	15	15
Predicted sugar epimerase, xylose isomerase-like family	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG4130	GC_00057519	0	0	0.0667	151	15	15
20S proteasome, alpha and beta subunits (PRE1) (PDB:1FNT)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0638	GC_00051959	0	0	0.0667	151	15	15
Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)!!!DNA/RNA endonuclease G, NUC1 (NUC1) (PDB:1G8T)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0265!!!COG1864	GC_00066469	0	0	0.0667	151	15	15
Endo alpha-1,4 polygalactosaminidase, GH114 family (was erroneously annotated as Cys-tRNA synthetase) (PDB:2AAM)!!!Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG2342!!!COG2931	GC_00074796	0	0	0.0667	151	15	15
ATP-dependent protease ClpP, protease subunit (ClpP) (PDB:1TG6)!!!Phage capsid protein	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0740!!!COG5511	GC_00058418	0	0	0.0667	151	15	15
DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)!!!DNA primase, phage- or plasmid-associated	11.128505217476146	0.0038324438101374043	0.01727484029109774	Large	COG0358!!!COG3378	GC_00043349	0	0	0.0667	151	15	15
